pert_iname,inchi_key,canonical_smiles,pubchem_cid
nifurtimox,ARFHIAQFJWUCFH-UHFFFAOYSA-N,CC1CS(=O)(=O)CCN1N=Cc1ccc(o1)[N+]([O-])=O,6842999
hemado,KOCIMZNSNPOGOP-UHFFFAOYSA-N,CCCCC#Cc1nc(NC)c2ncn(C3OC(CO)C(O)C3O)c2n1,4043357
biperiden,YSXKPIUOCJLQIE-UHFFFAOYSA-N,OC(CCN1CCCCC1)(C1CC2CC1C=C2)c1ccccc1,-666
noretynodrel,ICTXHFFSOAJUMG-OQPPHWFISA-N,C[C@]12CCC3C(CCC4=C3CCC(=O)C4)C1CC[C@@]2(O)C#C,5702095
7-hydroxy-PIPAT,RTMIJLQPWFKAFE-FPYGCLRLSA-N,CCCN(C\C=C\I)C1CCc2ccc(O)cc2C1,6305587
"7,8-dihydro-L-biopterin",FEMXZDUTFRTWPE-YRAGUDHZSA-N,CC(O)[C@H](O)C1=Nc2c(NC1)nc(N)[nH]c2=O,71684472
salmeterol,GIIZNNXWQWCKIB-UHFFFAOYSA-N,OCc1cc(ccc1O)C(O)CNCCCCCCOCCCCc1ccccc1,5152
flumetasone,WXURHACBFYSXBI-DRBBXQFKSA-N,C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,5702178
chlormadinone-acetate,QMBJSIBWORFWQT-GDMUWPLKSA-N,CC(=O)O[C@@]1(CCC2C3C=C(Cl)C4=CC(=O)CC[C@]4(C)C3CC[C@@]21C)C(=O)C,-666
prednisolone-acetate,LRJOMUJRLNCICJ-AUGMLKDDSA-N,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@]12C,-666
nitrendipine,PVHUJELLJLJGLN-UHFFFAOYSA-N,CCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC,-666
tubaic-acid,CMXGHLJKXLIMAQ-UHFFFAOYSA-N,CC(=C)C1Cc2c(O1)ccc(C(=O)O)c2O,3919910
betamethasone,UREBDLICKHMUKA-REKGUKDCSA-N,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,-666
EMF-sumo1-9,BFQJGJYTDOYXDQ-UHFFFAOYSA-N,CC1CC(C)(C)N2C(=O)C3(Nc4ccccc4S3)c5cccc1c25,4898145
cyclopamine,QASFUMOKHFSJGL-ACLNMQFHSA-N,CC1C2NC[C@@H](C)C[C@H]2O[C@@]31CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C,44118238
meptazinol,JLICHNCFTLFZJN-UHFFFAOYSA-N,CCC1(CCCCN(C)C1)c1cccc(O)c1,41049
betaxolol,NWIUTZDMDHAVTP-UHFFFAOYSA-N,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,-666
ICI-89406,HTLWRKRZKFAAAH-UHFFFAOYSA-N,OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N,123686
metoprolol,IUBSYMUCCVWXPE-UHFFFAOYSA-N,COCCc1ccc(OCC(O)CNC(C)C)cc1,5702086
CP-55940,YNZFFALZMRAPHQ-UHFFFAOYSA-N,CCCCCCC(C)(C)c1ccc(C2CC(O)CCC2CCCO)c(O)c1,-666
BRD-A03946276,VNYMEPQAFKNDRQ-UHFFFAOYSA-N,[O-][N+](=O)c1ccc2NC(=O)C3(NNc4ccccc4O3)c2c1,3921071
chlorphenamine,SOYKEARSMXGVTM-UHFFFAOYSA-N,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,-666
CGP-52432,GJZVQXWEIYRHBE-UHFFFAOYSA-N,CCOC(OCC)P(=O)(O)CCCNCc1ccc(Cl)c(Cl)c1,-666
bucladesine,CJGYSWNGNKCJSB-UHFFFAOYSA-N,CCCC(=O)Nc1ncnc2n(cnc12)C3OC4COP(=O)(O)OC4C3OC(=O)CCC,-666
norgestimate,KIQQMECNKUGGKA-OMEWWMGKSA-N,CC[C@]12CCC3C(CCC4=C\C(CCC34)=N\O)C1CC[C@@]2(OC(C)=O)C#C,-666
bupropion,SNPPWIUOZRMYNY-UHFFFAOYSA-N,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,-666
ipratropium,OEXHQOGQTVQTAT-UHFFFAOYSA-N,CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,-666
alvespimycin,KUFRQPKVAWMTJO-UBRRALEVSA-N,COC1CC(C)CC2=C(NCCN(C)C)C(=O)C=C(NC(=O)\C(C)=C\C=C\C(OC)C(OC(N)=O)\C(C)=C\C(C)C1O)C2=O,73707383
terfenadine,GUGOEEXESWIERI-UHFFFAOYSA-N,CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,-666
hydroquinidine,LJOQGZACKSYWCH-NBGVHYBESA-N,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,45479756
dibutyrylcyclic-gmp,SWTMOFFYOXKQNN-UVQKOMKVSA-N,CCCC(=O)Nc1nc2n(cnc2c(=O)[nH]1)C3O[C@H]4COP(=O)(O)O[C@@H]4[C@@H]3OC(=O)CCC,6610337
MRS-1334,QFLOJAMZLQXHFS-UHFFFAOYSA-N,CCOC(=O)C1=C(C)NC(=C(C1C#Cc2ccccc2)C(=O)OCc3ccc(cc3)[N+](=O)[O-])c4ccccc4,-666
CVF-SUMO-13,MFDWJDXTGBHHCQ-UHFFFAOYSA-N,CCN(CC)CC(C(=O)c1ccc(F)cc1)c1ccccc1,51003717
ipratropium,OEXHQOGQTVQTAT-RHRUOIOWSA-N,CC(C)[N+]1(C)C2CC[C@@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,5702074
